trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.5, 'e': 0.6220639206484622}",30,23,3.2058046973716863,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.6201977288865168}",20,5,-65.56352404050462,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.6183371356998573}",20,2,-41.98681187335783,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.6164821242927577}",25,0,-16.099097503376548,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.6146326779198794}",20,4,-13.046173772580758,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.6127887798861198}",30,4,-71.86806837801369,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.6109504135464614}",30,0,-127.64022299096763,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.609117562305822}",25,0,-107.77881813557269,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.6072902096189046}",30,0,-191.45622749818492,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
167,False,"{'a': 0.5, 'e': 0.6054683389900478}",20,9,-0.06357346577651457,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.6036519339730777}",25,13,-28.15134696342304,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.6018409781711584}",20,0,-38.30999983080473,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.6000354552366449}",20,0,-61.482407909688206,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.598235348870935}",25,0,-202.45449131793197,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 4}",0
172,False,"{'a': 0.5, 'e': 0.5964406428243222}",25,0,-56.96279796691436,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.5946513208958493}",25,0,-30.568100160626237,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.5928673669331617}",25,3,0.6242410864729793,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.5910887648323622}",25,2,-74.98117083630076,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
176,False,"{'a': 0.5, 'e': 0.5893154985378651}",25,0,-40.02285590621923,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.5875475520422515}",20,0,-9.541677060041142,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
